Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Victor Oladipo,27,$21000000,$21000000,$21000000,,,,1st Round Pick,$63000000
Thaddeus Young,31,$13764045,,,,,,Bird Rights,$13764045
Tyreke Evans,29,$12400000,,,,,,,$12400000
Bojan Bogdanovic,30,$10500000,,,,,,Cap space,$10500000
Darren Collison,31,$10000000,,,,,,Cap space,$10000000
Cory Joseph,27,$7945000,,,,,,Cap Space,$7945000
Doug McDermott,27,$7333334,$7333334,$7333333,,,,,$22000001
Kyle O'Quinn,29,$4449000,,,,,,Room Exception,$4449000
Myles Turner,23,$3410284,$18000000,$18000000,$18000000,$18000000,,1st round pick,$75410284
Domantas Sabonis,23,$2659800,$3529555,,,,,1st Round pick,$6189355
T.J. Leaf,22,$2407560,$2813280,$4326825,,,,1st Round Pick,$5220840
Aaron Holiday,22,$1911960,$2239200,$2345640,$3980551,,,1st Round Pick,$4151160
Alize Johnson,23,$838464,$1416852,,,,,Minimum Salary,$838464
Wesley Matthews,32,$737715,,,,,,,$737715
Edmond Sumner,23, ,$1588231,,,,,Two-Way Contract,$449794
Davon Reed,24, ,,,,,,Two-Way Contract, 
Al Jefferson,34,$4000000,,,,,,,$4000000
Monta Ellis,33,$2245400,$2245400,$2245400,$2245400,,,,$8981600
Nik Stauskas,25,$1621415,,,,,,,$1621415
Wade Baldwin,23,$1544951,,,,,,,$1544951
Ike Anigbogu,20,$1378242,,,,,,,$1378242
Ben Moore,24,$160096,,,,,,,$160096
Stephan Hicks,27,$47371,,,,,,,$47371
Team Totals,,$110804431,$60165852,$55251198,$24225951,$18000000,,,$254789333
