Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
Nicolas Batum,30,$24000000,$25565217,$27130434,,,,Cap Space,$49565217
Bismack Biyombo,26,$17000000,$17000000,,,,,Cap Space,$34000000
Marvin Williams,33,$14087500,$15006250,,,,,Cap Space,$29093750
Cody Zeller,26,$13528090,$14471910,$15415730,,,,1st Round Pick,$43415730
Michael Kidd-Gilchrist,25,$13000000,$13000000,,,,,1st Round Pick,$26000000
Kemba Walker,29,$12000000,,,,,,1st Round Pick,$12000000
Jeremy Lamb,27,$7488372,,,,,,Rookie scale extension,$7488372
Tony Parker,37,$5000000,$5000000,,,,,MLE,$10000000
Frank Kaminsky,26,$3627842,,,,,,1st round pick,$3627842
Malik Monk,21,$3447480,$4028400,$5345687,,,,1st Round Pick,$7475880
Miles Bridges,21,$3206640,$3755400,$3934320,$5421493,,,1st Round Pick,$6962040
Shelvin Mack,29,$2029463,,,,,,Minimum Salary,$2029463
Willy Hernangomez,25,$1544951,$1701735,,,,,Cap Space,$1544951
Dwayne Bacon,23,$1378242,$1618520,,,,,MLE,$1378242
Devonte' Graham,24,$988464,$1416852,$1663861,,,,MLE,$2405316
J.P. Macura,24, ,,,,,,Two-Way Contract, 
Joe Chealey,23, ,,,,,,Two-Way Contract, 
Team Totals,,$122327044,$102564284,$53490032,$5421493,,,,$236986803
