Player,Age,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
DeMar DeRozan,29,$27739975,$27739975,$27739975,,,,Cap Space,$55479950
LaMarcus Aldridge,33,$22347015,$26000000,$24000000,,,,Cap Space,$55347015
Patty Mills,30,$11571429,$12428571,$13285714,,,,Bird Rights,$37285714
Rudy Gay,32,$10087200,,,,,,Non-Bird Rights,$10087200
Davis Bertans,26,$7000000,$7000000,,,,,Early Bird Rights,$14000000
Marco Belinelli,33,$6153846,$5846154,,,,,MLE,$12000000
Bryn Forbes,25,$3125000,$2875000,,,,,Early Bird Rights,$6000000
Jakob Poeltl,23,$2947320,$3754886,,,,,1st Round pick,$6702206
Dante Cunningham,32,$2500000,,,,,,Bi-annual Exception,$2500000
Lonnie Walker,20,$2357160,$2760480,$2892000,$4447896,,,1st Round Pick,$5117640
Quincy Pondexter,31,$2165481,,,,,,,$2165481
Derrick White,24,$1667160,$1948080,$3516284,,,,1st Round Pick,$3615240
Dejounte Murray,22,$1544951,$2321735,,,,,1st Round pick,$3866686
Chimezie Metu,22,$838464,,,,,,MLE,$838464
Donatas Motiejunas,28,$59820,,,,,,,$59820
Ben Moore,24,,,,,,,Two-way Contract,
Drew Eubanks,22, ,,,,,,Two-Way Contract, 
Pau Gasol,38,$15100000,$5100000,,,,,,$20200000
Manu Ginobili,41,$2500000,,,,,,,$2500000
Tim Duncan,43,$1881250,,,,,,,$1881250
Team Totals,,$121586071,$97774881,$71433973,$4447896,,,,$239646666
